Last Report Year,NTD ID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,210975,Existing 2017,DR,DO,Operating,33507,36099,42895,45156,57748,54100,57550,63965,83703,63975,76881,80771,87803,,102013,129324,133814,149427,123901,111231,121705,116535,101062,103540,106910,113388,113960
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,210975,Existing 2017,DR,PT,Operating,1496,1883,4325,4076,4500,5020,25347,28661,18549,12577,22371,26224,31533,,49128,51428,57430,64122,44750,17340,16161,12246,12807,12912,12014,12296,12834
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,210975,Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,18941,20198,22715,24279,31056,31459,31306,23058
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,210975,Existing 2017,MB,DO,Operating,119214,118222,118640,121372,122648,131484,141917,146671,142521,134423,131108,118208,128187,,142241,145912,145170,147017,146776,132549,132872,132925,131050,131093,131934,132957,140249
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,210975,Existing 2017,MB,PT,Discontinued,88,322,525,3976,9460,10568,,,,,,,,,,,,,,,0,0,,0,,,
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,210975,Existing 2017,VP,DO,Operating,29151,35484,37265,36352,45900,53248,49725,45312,45924,75735,71400,72192,68816,,62417,61360,74168,104489,107940,109896,116561,113963,88208,84232,83627,77653,70653
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,176617,Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,15707,17547,21794,21743,21741,20605
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,176617,Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,176617,Existing 2017,DR,DO,Operating,12821,25938,33012,44061,54350,53902,54866,57019,55408,44233,44772,39772,41937,42632,47922,53954,57220,59325,65499,66380,66284,64507,66305,69268,71067,74601,76921
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,176617,Existing 2017,DR,PT,Discontinued,11892,,,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,176617,Existing 2017,MB,DO,Operating,125962,138612,170140,230532,195241,192249,215798,201927,199518,126744,121346,115450,128339,136698,151652,171786,174404,192838,194041,193012,199060,184187,183863,183609,184171,184157,183234
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,176617,Existing 2017,MB,PT,Discontinued,510,,,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,176617,Existing 2017,VP,DO,Operating,0,0,21803,9437,9081,12096,14673,16634,21301,24960,30680,31736,31175,36153,44372,60848,66801,79912,82797,79214,84247,92758,94315,95030,92381,84805,80872
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,Existing 2017,DR,DO,Operating,,0,,,42492,60427,65644,64744,71500,55469,67849,83183,112996,124098,123215,122166,122574,112821,90152,81029,84749,79225,80767,83410,85432,87169,84383
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,Existing 2017,DR,PT,Discontinued,53052,66684,55962,56036,16177,7476,,,,,,,,,,,,,,,0,0,,0,,,
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,175,239,77,39,44,,42,585
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,New in 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,1090
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,Existing 2017,FB,PT,Operating,,153,4563,10738,10812,7210,7190,7843,7862,4882,4855,5056,5723,5746,6556,6534,6547,6699,5982,5869,6142,6387,6189,6235,5907,6051,6041
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,Existing 2017,MB,DO,Operating,93148,102292,110806,128691,146901,144453,145172,143289,151390,114164,116385,134501,146371,155322,144349,135061,136086,130566,119569,104712,108013,118934,121062,124538,127888,123781,130054
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,Existing 2017,OR,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,198979,Existing 2017,VP,DO,Operating,12640,15743,17083,24385,26726,43117,29048,33341,30399,12358,13049,20991,33148,38868,45990,47444,45010,44997,38713,37256,37233,34849,31049,34249,30531,24841,27762
2017,21,21,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,114473,Existing 2017,DR,DO,Operating,,,,40837,43441,49105,55568,57740,58540,52353,52314,51231,46864,53561,49713,51185,52818,55659,57393,55801,56634,57347,58951,59575,61612,64215,69699
2017,21,21,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,114473,Existing 2017,DR,PT,Discontinued,22600,31410,34327,833,1525,1534,1379,1499,1153,672,497,510,638,629,604,587,638,702,950,,0,0,,0,,,
2017,21,21,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,114473,Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,938,1050,1380,1480,1082,1222,1400,1109
2017,21,21,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,114473,Existing 2017,MB,DO,Operating,65800,66036,68307,74692,82010,83631,88701,89224,89995,86818,85233,86337,89418,91779,98148,122560,127429,139149,140217,135021,125386,129135,130117,129869,131391,131757,142321
2017,21,21,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,114473,Existing 2017,VP,DO,Operating,,,,,,,,,,,,,,,,,,,9784,10128,8334,9487,9471,11069,9176,8006,7371
2017,21,21,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,114473,Existing 2017,VP,PT,Discontinued,,,,,0,,,,,,,,,,,,,,,,0,0,,0,,,
2017,22,22,City of Pocatello(PRT),Active,Reduced Reporter,Pocatello,ID,2010,"Pocatello, ID",395,31,69809,Existing 2017,DR,DO,Operating,2786,3342,3656,5396,5166,5744,7039,8637,8862,10136,13424,14684,17688,16606,14582,14993,26795,29531,31159,31125,31917,31124,31224,29859,26551,28845,27654
2017,22,22,City of Pocatello(PRT),Active,Reduced Reporter,Pocatello,ID,2010,"Pocatello, ID",395,31,69809,Existing 2017,MB,DO,Operating,12476,15867,18130,18318,18582,18624,19062,19614,20074,21806,21512,20904,20118,19992,20703,21553,22845,23845,22089,22667,21424,22562,23572,25961,24053,22567,20479
2017,22,22,City of Pocatello(PRT),Active,Reduced Reporter,Pocatello,ID,2010,"Pocatello, ID",395,31,69809,Existing 2017,MB,PT,Discontinued,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,
