Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles,Deadhead Miles Questionable,Vehicle Hours,Vehicle Hours Questionable,"Vehicle 
Revenue 
Hours",Vehicle Revenue Hours Questionable,Deadhead Hours,Deadhead Hours Questionable,Train Miles,Train Miles Questionable,"Train 
Revenue
Miles",Train Revenue Miles Questionable,Train Hours,Train Hours Questionable,"Train 
Revenue 
Hours",Train Revenue Hours Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,MB,PT,83,,0,,12.494,,4.9074,,13.4934,,1599636,,2297130,,1599589,,697541,,162332,,128029,,34303,,0,,0,,0,,0,,1727543,,8477820,,1080.3,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,DR,DO,8,,0,,12.2153,,7.0376,,2.8035,,0,,244657,,200197,,44460,,18335,,16389,,1946,,0,,0,,0,,0,,45947,,323358,,0,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,MB,DO,552,,0,,14.1911,,6.51,,17.0072,,22609015,,28011270,,22593717,,5417553,,1784576,,1592101,,192475,,0,,0,,0,,0,,27077197,,176273794,,3221.7,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,DT,PT,78,,0,,17.1774,,6.3234,,2.8502,,0,,0,,560704,,0,,0,,32642,,0,,0,,0,,0,,0,,93037,,588306,,0,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,VP,DO,608,,0,,29.2641,,21.3729,,5.5517,,0,,8002454,,8002454,,0,,273456,,273456,,0,,0,,0,,0,,0,,1518146,,32447220,,0,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,CB,DO,6,,0,,23.4968,,21.1141,,10.7085,,253838,,394957,,253742,,141215,,15828,,10799,,5029,,0,,0,,0,,0,,115641,,2441650,,151.64,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,MB,PT,181,,0,,12.3022,,3.8751,,19.022,,7632065,,9459673,,7617154,,1842519,,695894,,619169,,76725,,0,,0,,0,,0,,11777850,,45640176,,983.4,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,DT,PT,99,,0,,15.9953,,3.025,,5.5449,,0,,0,,391276,,0,,0,,24462,,0,,0,,0,,0,,0,,135639,,410307,,0,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,DR,PT,398,,0,,16.4241,,11.2852,,2.1001,,0,,13125622,,11542910,,1582712,,797877,,702803,,95074,,0,,0,,0,,0,,1475934,,16656225,,0,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,CB,PT,22,,0,,21.0427,,19.2752,,7.0959,,454725,,842107,,453954,,388153,,35231,,21573,,13658,,0,,0,,0,,0,,153080,,2950650,,297.15,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,VP,PT,538,,0,,38.2932,,34.5127,,5.4999,,0,,9030958,,9030958,,0,,235837,,235837,,0,,0,,0,,0,,0,,1297079,,44765651,,0,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,MB,DO,257,,0,,11.7082,,3.3456,,28.5749,,11439905,,13532550,,11435030,,2097520,,1077914,,976672,,101242,,0,,0,,0,,0,,27908275,,93370948,,667.25,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,1480,DR,PT,434,,0,,15.6624,,8.7093,,1.6775,,0,,13996400,,11348658,,2647742,,1011341,,724579,,286762,,0,,0,,0,,0,,1215468,,10585859,,0,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,1480,MB,PT,379,,0,,12.2022,,4.2439,,15.2212,,15161944,,18226678,,15079952,,3146726,,1341003,,1235839,,105164,,0,,0,,0,,0,,18810998,,79832928,,1465.3,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,1480,CR,PT,20,,10,,36.2883,,13.453,,97.7148,,2620420,,2654516,,2581113,,73403,,73380,,71128,,2252,,1327258,,1310210,,36590,,35564,,6950256,,93501777,,58.66,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,1480,MB,DO,488,,0,,13.1771,,5.3452,,29.5907,,20610540,,25957460,,20687055,,5270405,,1772548,,1569930,,202618,,0,,0,,0,,0,,46455323,,248311937,,2347.69,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,1480,LR,DO,159,,54,,15.8752,,7.1174,,31.0453,,12454746,,13099663,,12602637,,497026,,884337,,793856,,90481,,4885974,,4668982,,323363,,274042,,24645459,,175410880,,115.22,,No
